Act/Section,Final Judgment
Section 302 IPC,"Guilty, Life Imprisonment"
Article 368 of the Constitution,Limited Parliament’s Power
Section 125 CrPC,Maintenance Granted
Section 67 of IT Act,Convicted
Article 21 of the Constitution,Expanded Right to Life
Article 21 of the Constitution,Protection Ordered
"IPC Sections 302, 121",Death Sentence
"Article 14, 19, 21 of the Constitution",Vishaka Guidelines Issued
Section 497 IPC,Law Struck Down
NDPS Act,Mandatory Death Penalty Struck Down
Article 21 of the Constitution,Passive Euthanasia Allowed
Muslim Women (Protection of Rights on Divorce) Act,Maintenance Upheld
Article 21 of the Constitution,Privacy Upheld
Environmental Protection Laws,Guidelines Issued
Article 21 of the Constitution,Strict Action Ordered
"IPC Sections 376, 302",Death Penalty
Representation of the People Act,Law Upheld
Protection of Women from Domestic Violence Act,Relationship Not Recognized
Article 20(3) of the Constitution,Prohibited Without Consent
"Section 499, 500 IPC",Law Upheld
Indian Succession Act,Struck Down
Election Laws,Election Nullified
Environmental Protection Act,Strict Regulations Imposed
Article 19(1)(a) of the Constitution,Case Dismissed
"IPC, Prevention of Corruption Act",Charges Filed
Article 21 of the Constitution,Habeas Corpus Suspended
Muslim Personal Law,Triple Talaq Abolished
Environmental Protection Act,Compensation Ordered
Article 21 of the Constitution,Right to Treatment Upheld
Hindu Marriage Act,Forced Marital Sex Unconstitutional
Section 463 IPC,Acquitted
Section 66A IT Act,Struck Down
Article 21 of the Constitution,Right to Privacy Upheld
Section 376 IPC,Acquitted
Section 377 IPC,Struck Down
Hindu Marriage Act,Bigamy Invalid
Section 302 IPC,Convicted
Article 21 of the Constitution,Right to Die with Dignity
Indian Succession Act,Equal Inheritance Granted
Section 376 IPC,Case Dismissed
Article 368 of the Constitution,Struck Down Certain Amendments
Haryana Panchayati Raj Act,Upheld Two-Child Norm
"IPC Sections 302, 147, 148",Convictions Secured
Article 21 of the Constitution,Right to Shelter Upheld
"Article 25, 14 of the Constitution",Gender Equality Upheld
"IPC Sections 302, 364, 120B",Convictions Ordered
Article 15 of the Constitution,Quotas Introduced
Guardians and Wards Act,Gender Equality Upheld
"SEBI Act, IPC Sections",Convicted
Right to Privacy,Aadhaar Restricted
"Article 14, 25",Women’s Rights Upheld
"IPC Sections 302, 307",Convictions Secured
Environmental Protection Act,Hotel Demolition Ordered
Muslim Personal Law,Talaq Declared Invalid
"IPC Sections 147, 302",Convictions Ordered
Consumer Protection Act,Consumer Rights Upheld
Article 21 of the Constitution,Rights Upheld
Article 21 of the Constitution,Rights Expanded
Article 19(1)(g),Ban Overturned
DV Act,Protection Extended
Article 123 of the Constitution,Law Struck Down
Prevention of Cruelty to Animals Act,Ban Imposed
Article 14,Ban Overturned
Article 15(4),50% Limit Set
Consumer Protection Act,Compensation Ordered
Article 21,Salwa Judum Disbanded
Representation of the People Act,Election Nullified
Election Laws,Mandatory Disclosure Ordered
Hindu Marriage Act,Equality Upheld
Section 304B IPC,Convicted
Article 21,Passive Euthanasia Allowed
Article 368,Limited Parliament's Power
Muslim Personal Law,Triple Talaq Banned
"IPC Section 376, 302",Death Sentence
Representation of People Act,Immediate Disqualification
Section 497 IPC,Struck Down
Environmental Protection Act,Compensation Awarded
Article 21,Due Process Required
Hindu Marriage Act,Struck Down
"IPC Sections 302, 120B",Convictions
"Article 14, 21",Vishaka Guidelines Set
Environmental Protection Act,Pollution Control Ordered
"IPC Sections 121, 302",Death Sentence Executed
SC/ST Act,No Automatic Arrest
Article 21,Right to Marry Upheld
"IPC Sections 302, 120B",Death Sentence Executed
Article 21,Right to Shelter Upheld
IPC Section 304B,Conviction Upheld
"IPC Sections 302, 120B",Death Sentence Executed
Environmental Protection Act,Compensation Paid
Article 21,Custodial Safeguards Set
"IPC Sections 302, 331",Police Officials Convicted
Section 377 IPC,Decriminalized (Later Overturned)
Muslim Women Act,Maintenance Upheld
"IPC Sections 302, 376",Death Sentence (Later Life)
Article 368,Fundamental Rights Upheld
Reservation Laws,No Automatic Quotas
IPC Section 302,Death Sentence Commuted
Maternity Benefit Act,Maternity Rights Upheld
Article 21,Prisoner Rights Expanded
"TADA, Arms Act",Convicted
Article 16(4),Upheld Quotas with Limits
Hindu Marriage Act,Gender Equality Upheld
TADA,TADA Partially Upheld
"Article 14, 19",Disinvestment Upheld
Juvenile Justice Act,Right to Adopt Upheld
Article 21,Right to Fair Trial Strengthened
Right to Privacy,Aadhaar Limited
Hindu Succession Act,Women’s Rights Upheld
"IPC Sections 153A, 295A",Convictions Upheld
Labour Laws,Contractual Rights Recognized
Article 21,Right to Education Upheld
Section 124A IPC,Free Speech Strengthened
