Act/Section,Final Judgment
Section 302 IPC,"The court found the accused guilty of the charges. Considering the severity of the crime, a life imprisonment sentence was imposed. This decision aimed to serve justice and deter similar offenses."
Article 368 of the Constitution,"The ruling established that Parliament cannot alter the basic structure of the Constitution. It limited its power to make fundamental changes, ensuring constitutional stability and protection of fundamental rights."
Section 125 CrPC,The court recognized the petitioner’s right to maintenance and ruled in their favor. The respondent was directed to provide financial support as per legal provisions. This decision reinforced the protection of dependent individuals.
Section 67 of IT Act,The accused was convicted based on substantial evidence presented in court. The judgment imposed a suitable punishment in line with legal standards. This ensured accountability and adherence to justice.
Article 21 of the Constitution,"The court expanded the interpretation of the right to life, including personal liberty and dignity. This judgment strengthened constitutional protections and upheld fundamental human rights."
Article 21 of the Constitution,The court ordered protection for the petitioner due to credible threats or risks. Authorities were directed to ensure their safety and prevent harm. This decision reinforced the right to security and personal protection.
"IPC Sections 302, 121",The court imposed the death sentence after considering the gravity of the crime. The ruling followed legal precedents and was based on due process. This verdict was intended as the strictest punishment for extreme offenses.
"Article 14, 19, 21 of the Constitution",The Vishaka Guidelines were issued to address workplace harassment and protect women's rights. The court emphasized the need for a safe working environment. These guidelines set the foundation for future legal frameworks on sexual harassment.
Section 497 IPC,The law in question was declared unconstitutional and struck down. The ruling determined that it violated fundamental rights or legal principles. This decision safeguarded individual freedoms and upheld justice.
NDPS Act,The mandatory death penalty was ruled unconstitutional and struck down. The court emphasized that sentencing should consider circumstances and not be automatic. This judgment upheld the principles of fairness and judicial discretion.
Article 21 of the Constitution,"The court allowed passive euthanasia under strict guidelines, recognizing the right to die with dignity. It ruled that life support could be withdrawn in specific medical conditions with due legal process."
Muslim Women (Protection of Rights on Divorce) Act,"The court upheld the petitioner’s right to maintenance, emphasizing financial security for dependents. The ruling reinforced the legal duty of individuals to support their spouses or family members."
Article 21 of the Constitution,"The right to privacy was upheld as a fundamental right under the Constitution. The court ruled that personal autonomy, dignity, and freedom from unnecessary state interference are essential in a democratic society."
Environmental Protection Laws,"The court issued guidelines to regulate the matter effectively. These guidelines aimed to ensure fairness, clarity, and legal compliance in similar cases moving forward."
Article 21 of the Constitution,The court ordered strict action against those found guilty of violating the law. Authorities were directed to enforce legal measures without delay to uphold justice.
"IPC Sections 376, 302",The death penalty was imposed after careful consideration of the case. The court ruled that the punishment was appropriate for the severity of the crime and was in accordance with the law.
Representation of the People Act,The court upheld the validity of the law in question. It ruled that the legislation was in line with constitutional provisions and did not violate fundamental rights.
Protection of Women from Domestic Violence Act,The relationship in question was not legally recognized by the court. The ruling stated that such unions do not have legal standing under existing laws.
